chromosome	start_H	end_H	mean_binsignal_H	start_D	end_D	mean_binsignal_D	Jaccard_index
chr1	914554	964553	0.2995697	894554	954553	0.3651073	0.571428571
chr1	27994554	28914553	0.5214040	27774554	28834553	0.4579281	0.736842105
chr1	51804554	53194553	0.4752436	51694554	53164553	0.3926382	0.906666667
chr1	75134554	76194553	0.3651125	75194554	76314553	0.2887969	0.847457627
chr1	78144554	78454553	0.4547496	78144554	79094553	0.4693909	0.326315789
chr1	100314554	100734553	0.5895193	100224554	100754553	0.5190886	0.792452830
chr1	169334554	169634553	0.3804303	169074554	169464553	0.4028739	0.232142857
chr1	205044554	205204553	0.3780143	205004554	205184553	0.3291386	0.700000000
chr1	229634554	230194553	0.2620582	229574554	230194553	0.3166033	0.903225806
chr1	233084554	233464553	0.3032757	232934554	233434553	0.3046035	0.660377358
chr1	244814554	247374553	0.4716278	244744554	247504553	0.3559500	0.927536232
chr2	26098814	26468813	0.4803143	25548814	26468813	0.4152782	0.402173913
chr2	28998814	29118813	0.2993167	28608814	29118813	0.3311436	0.235294118
chr2	46768814	47178813	0.3457031	46838814	47388813	0.3260321	0.548387097
chr2	69688814	70538813	0.4443040	69608814	70538813	0.3524691	0.913978495
chr2	89158814	89908813	0.5224331	89158814	89998813	0.6062358	0.892857143
chr2	120508814	120998813	0.3477884	120508814	121078813	0.2974957	0.859649123
chr2	152138814	153038813	0.5029635	152138814	153198813	0.5047559	0.849056604
chr2	170428814	170648813	0.5260493	170358814	170648813	0.4292433	0.758620690
chr2	172078814	172548813	0.4920704	171778814	172548813	0.3587696	0.610389610
chr2	220018814	220118813	0.5863512	220028814	220148813	0.5412048	0.692307692
chr2	230928814	231288813	0.4236481	231088814	231568813	0.3958642	0.312500000
chr2	232568814	232658813	0.3372617	232448814	232658813	0.3604873	0.428571429
chr2	239108814	239158813	0.4190287	239108814	239238813	0.3329067	0.384615385
chr3	44375431	44805430	0.4324081	44465431	44905430	0.4058518	0.641509434
chr3	57255431	58485430	0.5230789	56585431	58425430	0.4241010	0.615789474
chr3	88105431	88205430	0.3721430	88035431	88205430	0.3943347	0.588235294
chr3	121305431	122515430	0.4183122	122035431	123305430	0.3982076	0.240000000
chr3	128395431	129035430	0.5197180	128395431	129125430	0.4494409	0.876712329
chr3	133285431	133465430	0.3782204	133285431	133505430	0.2720545	0.818181818
chr3	141585431	142315430	0.4702577	141375431	142305430	0.3967304	0.765957447
chr3	195305431	195385430	0.3143551	195305431	195435430	0.2697977	0.615384615
chr3	195935431	196045430	0.4387098	196005431	196475430	0.3586305	0.074074074
