gene	chromosome	start	end	strand	log2FC	FDR
RSPO1	chr1	38076951	38100595	-	NA	NA
C1orf109	chr1	38147242	38157914	-	-0.2718610707	1.000000000000000000000000
CDCA8	chr1	38158090	38175391	+	0.2596926914	1.000000000000000000000000
EPHA10	chr1	38179552	38230805	-	0.2402673786	1.000000000000000000000000
MANEAL	chr1	38259474	38266809	+	-0.6678272199	0.692121997475220740447810
YRDC	chr1	38268616	38273857	-	0.0032653242	1.000000000000000000000000
C1orf122	chr1	38272651	38275126	+	0.2491345764	1.000000000000000000000000
AL929472.1	chr1	38292232	38293886	-	NA	NA
HEYL	chr1	40089825	40105617	-	-0.5084395724	1.000000000000000000000000
NT5C1A	chr1	40124793	40137710	-	NA	NA
HPCAL4	chr1	40144320	40157361	-	-0.4464616761	1.000000000000000000000000
PPIE	chr1	40157854	40229586	+	-0.3391857428	1.000000000000000000000000
OXCT2	chr1	40235195	40237020	-	-0.4944484402	1.000000000000000000000000
CHIA	chr1	111833484	111863188	+	NA	NA
PIFO	chr1	111888910	111895635	+	0.5001977521	1.000000000000000000000000
OVGP1	chr1	111956936	111970399	-	-0.3132269600	1.000000000000000000000000
WDR77	chr1	111982512	111991998	-	-0.2650484337	1.000000000000000000000000
ATP5F1	chr1	111991486	112005395	+	0.2544263225	1.000000000000000000000000
ADAR	chr1	154554538	154600475	-	0.8007500424	0.181129682934443730912832
AL606500.1	chr1	154585067	154585190	+	NA	NA
KCNN3	chr1	154679902	154842756	-	-0.1728103925	1.000000000000000000000000
RUSC1	chr1	155290687	155300905	+	-0.0414793989	1.000000000000000000000000
ASH1L	chr1	155305059	155532598	-	-0.0255151739	1.000000000000000000000000
MIR555	chr1	155316141	155316236	-	NA	NA
ASH1L-AS1	chr1	155531821	155533775	+	0.3975316277	1.000000000000000000000000
MSTO1	chr1	155579979	155718153	+	-0.1291578189	1.000000000000000000000000
TMEM131	chr2	98372799	98612388	-	-0.0837129274	1.000000000000000000000000
