chromosome	start_H	end_H	mean_binsignal_H	start_D	end_D	mean_binsignal_D	Jaccard_index
chr1	37934554	38474553	0.3836374	35444554	38064553	0.4786390	0.042904290
chr1	37934554	38474553	0.3836374	38324554	38464553	0.4153756	0.259259259
chr1	39874554	41164553	0.3867546	39874554	40044553	0.3063639	0.131782946
chr1	39874554	41164553	0.3867546	40244554	41714553	0.3915901	0.500000000
chr1	111194554	112304553	0.4170100	111214554	111754553	0.3593912	0.486486486
chr1	111194554	112304553	0.4170100	112014554	113164553	0.3243631	0.147208122
chr1	153594554	156274553	0.5092689	153594554	154544553	0.3908774	0.354477612
chr1	153594554	156274553	0.5092689	154904554	155284553	0.4756553	0.141791045
chr1	153594554	156274553	0.5092689	155654554	156274553	0.4779211	0.231343284
chr2	98258814	100108813	0.4139098	98258814	98338813	0.2907594	0.043243243
chr2	98258814	100108813	0.4139098	99218814	99798813	0.3648426	0.313513514
chr2	190298814	192018813	0.4890204	190298814	190628813	0.4406641	0.191860465
chr2	190298814	192018813	0.4890204	191198814	192018813	0.5019637	0.476744186
chr3	9685431	10335430	0.4343077	9685431	9855430	0.4368551	0.261538462
chr3	9685431	10335430	0.4343077	9925431	10335430	0.3900646	0.630769231
chr5	34122266	37252265	0.4009520	34652266	35232265	0.4027160	0.185303514
chr5	34122266	37252265	0.4009520	36242266	36882265	0.3119653	0.204472843
chr5	175662266	177022265	0.5452157	175662266	175972265	0.3566187	0.227941176
chr5	175662266	177022265	0.5452157	176232266	177022265	0.6421784	0.580882353
chr6	34211910	35421909	0.4664254	34201910	34731909	0.3343842	0.426229508
chr6	34211910	35421909	0.4664254	35221910	35421909	0.4960431	0.165289256
chr7	759757	1609756	0.4196501	759757	1019756	0.3789316	0.305882353
chr7	759757	1609756	0.4196501	1489757	1609756	0.3501993	0.141176471
chr7	5309757	7759756	0.4874493	5309757	5639756	0.4965097	0.134693878
chr7	5309757	7759756	0.4874493	6139757	6659756	0.5257755	0.212244898
chr7	5309757	7759756	0.4874493	7189757	7759756	0.3680262	0.232653061
chr7	43619757	45039756	0.5153464	43789757	44129756	0.4545247	0.239436620
chr7	43619757	45039756	0.5153464	44369757	44929756	0.4749425	0.394366197
chr7	75469757	80559756	0.3832673	75929757	76099756	0.3925511	0.033398821
chr7	75469757	80559756	0.3832673	76749757	77429756	0.5185086	0.133595285
chr7	99609757	100489756	0.5476856	99469757	99779756	0.4731051	0.166666667
chr7	99609757	100489756	0.5476856	100019757	100479756	0.5173388	0.522727273
chr9	139221056	140501055	0.5384492	139221056	139441055	0.5610465	0.171875000
chr9	139221056	140501055	0.5384492	139691056	140501055	0.5010720	0.632812500
chr11	64351279	66631278	0.5627728	64511279	66051278	0.5617096	0.675438596
